type,air_temperature,process_temperature,rotational_speed,torque,tool_wear
L,301.2,309.9,1515,40.9,21
L,300.7,309.9,1412,45.3,155
L,297.1,308.3,1403,54.1,179
M,302.1,311.1,1423,36.8,80
M,298.2,308.3,1560,33.0,181
L,298.1,308.6,1439,44.9,205
L,303.4,312.9,1389,54.1,109
L,298.0,308.7,1506,47.0,208
M,298.0,309.0,1393,55.9,79
L,300.1,309.8,1532,39.8,115
L,300.8,310.3,1383,46.6,19
L,300.4,309.3,1525,39.6,202
L,301.8,311.0,1322,53.0,166
M,302.9,311.0,1556,36.5,44
M,298.8,309.8,1377,49.6,27
M,302.9,311.0,1402,40.7,52
L,298.6,308.2,1361,68.2,172
L,295.9,306.6,1557,41.1,113
M,303.6,311.8,1659,34.7,94
L,300.0,309.5,1728,26.0,37
M,303.8,312.8,1420,47.9,200
M,302.3,311.7,1368,53.6,165
L,300.1,310.1,1380,52.6,59
L,303.6,311.8,1614,33.2,155
M,298.2,308.9,1512,38.5,28
L,302.9,312.2,1571,40.6,139
L,297.6,309.6,1501,49.8,222
L,303.4,311.9,1434,44.6,78
L,302.2,311.8,1618,36.0,158
L,303.4,311.9,1298,63.9,59
L,298.2,309.4,1398,52.9,79
L,297.4,308.1,1749,25.9,8
M,296.8,307.4,1455,49.9,102
L,298.4,309.4,1385,50.0,201
M,299.5,308.8,1886,20.9,117
M,302.1,311.1,1605,37.6,171
M,298.8,309.6,1575,34.4,149
L,299.5,308.9,1520,38.3,122
M,301.8,310.9,1358,52.3,56
L,298.5,309.8,1593,35.1,203
L,299.0,309.4,1758,25.7,68
L,301.8,310.7,1751,29.3,133
L,301.3,310.4,1504,47.2,193
M,301.0,310.6,1698,27.3,14
L,302.4,310.1,2009,18.9,59
L,297.5,308.5,1546,40.4,129
L,300.6,311.9,1472,44.2,126
L,299.3,310.8,1483,43.5,15
L,298.2,309.0,1377,57.8,8
M,299.5,309.3,1506,41.5,77
M,298.9,310.1,1469,53.2,189
L,302.5,312.2,1738,25.3,14
M,304.3,313.6,1585,32.1,202
L,298.3,308.4,1528,37.3,160
M,300.7,310.0,1641,34.6,178
H,297.9,307.9,1406,58.5,93
M,299.7,310.3,1429,47.7,35
M,301.8,311.0,1839,23.6,30
L,298.8,308.4,1401,47.3,10
H,303.7,312.5,1520,35.6,154
L,302.3,311.0,1442,43.7,152
M,300.4,312.0,1596,30.4,191
M,300.7,311.7,2097,18.9,232
L,299.8,311.1,1300,64.2,165
M,300.2,311.4,1570,35.3,138
H,302.0,310.5,1841,23.6,119
M,299.4,309.0,1939,19.8,204
L,301.2,311.0,1573,32.8,57
L,298.2,308.9,1278,54.0,18
H,297.7,307.3,1249,62.8,47
L,299.8,309.2,1439,36.1,203
H,297.0,307.8,1404,40.7,184
L,301.3,311.2,1675,32.1,12
L,301.8,310.0,1642,32.6,201
L,303.5,312.4,1340,44.5,76
L,300.6,310.6,1454,39.7,67
L,299.8,309.2,1504,38.7,212
L,297.7,307.6,1844,21.9,61
M,300.5,311.9,1730,27.5,209
M,298.7,310.3,1495,38.7,88
L,299.1,310.1,1486,40.7,39
L,297.3,308.4,1339,52.1,36
L,296.8,307.9,1698,30.8,48
M,298.8,309.9,1495,35.2,60
M,303.7,312.4,1546,33.7,149
H,296.9,307.7,1656,30.8,181
L,299.4,310.4,1582,31.7,181
L,300.1,309.1,1400,46.7,77
L,300.5,311.1,1547,37.2,7
L,302.4,311.4,1475,40.4,126
M,298.2,308.9,1614,35.5,15
M,298.9,310.6,1679,35.8,14
L,299.5,309.4,1602,31.5,193
L,302.8,310.8,1516,39.5,23
L,299.1,310.3,1449,40.7,40
L,300.6,309.4,1425,40.3,103
L,299.3,308.6,1403,50.6,189
L,298.2,308.3,1589,33.2,94
M,298.1,308.9,1353,46.2,173
H,298.1,308.9,1388,53.5,83
L,302.7,312.1,1543,37.5,33
L,303.7,312.2,1487,34.0,94
L,299.5,308.6,1672,30.5,177
L,299.8,310.6,1707,32.5,124
L,298.0,307.8,1386,57.3,147
L,300.4,311.8,1320,57.9,168
L,300.0,309.1,1882,23.8,84
M,299.9,311.3,1703,28.4,134
L,297.7,309.6,1529,35.2,153
L,298.0,308.3,1473,42.6,107
H,302.2,310.8,1397,47.6,11
L,301.7,311.2,1589,37.9,75
M,297.9,309.0,1970,21.6,37
L,298.4,308.3,1318,59.1,22
L,297.9,308.0,1954,21.1,42
M,303.1,311.4,1831,23.3,161
L,299.0,310.3,1868,24.0,221
L,301.5,310.5,1589,36.7,118
M,300.2,309.5,1458,46.9,23
L,297.9,308.4,1646,40.6,175
M,298.0,308.7,1430,51.9,47
M,299.6,309.3,1577,39.8,48
L,297.7,308.8,1616,34.2,114
M,297.9,308.1,1627,31.4,209
L,298.0,308.2,1620,35.8,5
M,300.3,311.5,1400,43.8,0
L,298.8,309.9,1739,30.6,83
L,298.9,309.1,2861,4.6,143
L,300.1,309.3,1340,56.0,130
L,299.1,310.1,1373,55.6,108
L,300.3,310.1,1483,39.9,174
M,299.2,310.6,1443,50.9,85
M,304.1,313.2,1510,46.9,152
M,297.8,307.8,1543,43.7,8
L,299.8,309.3,1299,65.1,212
M,301.3,311.2,1438,42.4,7
L,298.2,308.0,1658,30.0,3
L,298.8,309.8,1557,37.2,139
M,299.4,309.1,1326,62.0,142
L,302.9,312.2,1469,42.0,214
L,298.0,308.3,1362,56.8,216
L,302.5,310.4,1967,20.3,50
L,300.6,310.6,2127,18.7,53
M,299.7,309.1,1352,46.1,102
L,299.7,309.4,1399,39.9,91
L,299.2,308.4,1841,22.8,40
L,302.9,312.2,1729,23.6,96
H,303.7,311.9,1332,52.7,66
L,297.2,308.4,1460,42.1,41
L,300.5,309.8,1379,54.2,207
L,301.0,310.9,1578,38.4,49
L,297.3,308.1,1642,36.9,206
L,299.6,311.0,1574,35.0,133
L,300.4,311.1,1589,35.5,191
M,298.2,309.0,1441,44.2,147
M,297.6,308.7,1376,59.9,74
L,299.1,310.5,1739,27.4,72
L,301.1,312.3,1595,31.9,134
L,297.9,307.6,1589,37.8,120
M,298.5,308.1,1501,39.2,127
H,300.7,310.3,1369,50.7,12
L,298.3,309.2,1562,37.6,137
L,297.7,307.1,1715,30.2,0
M,300.8,309.7,1751,27.9,183
L,297.7,309.0,1874,24.4,28
H,301.9,311.0,1672,29.9,13
M,300.3,309.9,1494,38.5,33
L,297.4,308.7,1402,40.2,114
H,300.5,309.4,1360,46.2,93
M,298.1,309.1,1448,52.5,150
L,299.0,310.1,1505,41.3,85
H,299.7,309.6,1433,49.6,129
L,297.8,308.4,1512,39.9,181
M,300.2,310.3,1593,36.1,36
H,301.4,310.7,1329,52.0,160
M,301.6,310.7,1421,44.4,94
L,298.9,308.5,1467,44.7,136
M,298.5,309.5,1315,48.9,127
L,299.1,310.5,1389,61.4,64
M,297.4,308.2,1401,51.9,117
M,297.5,308.6,1472,44.9,198
M,297.9,307.8,1303,59.3,75
L,300.6,310.9,1344,46.7,133
L,302.4,311.0,1317,59.4,179
L,302.0,311.1,1406,50.5,187
M,298.1,307.9,1662,28.9,76
M,303.5,312.5,1353,51.0,172
L,297.3,308.3,1396,45.9,64
L,297.3,308.7,1551,40.0,125
M,299.6,308.9,1685,27.8,161
H,300.0,310.1,1714,28.7,55
L,298.9,310.1,1580,37.3,100
L,301.7,309.9,1524,46.6,104
L,301.1,310.1,1666,27.2,40
L,302.4,310.4,1456,47.6,127
L,298.7,309.8,1469,38.4,62
L,298.1,308.0,1652,28.5,63
M,299.1,310.4,1422,49.3,69
L,299.5,310.0,1388,52.4,94
L,301.5,310.6,1522,36.6,202
M,299.5,310.8,1754,31.3,114
L,300.2,311.5,1528,36.1,125
L,297.3,308.6,1385,55.2,156
L,298.1,308.1,1616,32.8,65
M,299.8,309.7,1705,28.5,103
L,296.9,307.8,1425,49.1,163
M,301.8,310.2,1437,42.3,0
L,300.4,309.8,1513,32.9,117
L,298.5,309.5,1561,34.8,35
L,299.6,308.9,1422,53.2,120
L,298.8,309.8,1599,33.6,131
L,296.9,307.7,1464,41.4,6
L,297.5,308.6,1671,29.4,136
L,299.2,308.9,1430,39.1,117
M,298.9,310.2,1603,36.1,126
M,301.1,310.9,1396,45.1,12
M,299.2,309.0,1541,36.3,104
L,301.5,310.8,1785,25.5,120
L,301.8,310.0,2032,19.0,203
M,299.2,308.2,1674,28.2,14
H,302.6,312.0,1657,29.3,37
M,298.3,309.1,1488,40.6,176
L,297.3,308.5,1545,34.3,74
H,304.2,313.0,1442,40.9,23
M,298.0,308.7,1392,53.4,104
L,297.7,308.9,1715,27.2,193
L,299.3,308.5,1510,45.4,72
L,299.2,310.3,1463,38.9,160
L,300.7,311.9,1419,47.7,179
L,301.3,311.0,1542,33.6,80
L,300.4,310.4,1486,46.3,48
L,297.4,309.2,1428,38.8,26
H,300.2,311.5,1454,42.8,88
L,298.9,308.5,1459,43.1,147
L,297.5,308.7,1407,42.5,145
L,300.1,310.1,1569,43.5,17
L,300.8,310.4,1570,35.2,23
H,295.5,305.9,1593,37.2,197
L,298.9,308.8,1281,53.9,77
M,301.0,310.7,1497,37.6,116
L,304.0,312.8,1542,42.7,198
L,297.0,308.1,1489,44.1,96
L,302.2,310.9,1531,37.5,60
L,297.4,309.1,1478,49.8,150
L,301.5,311.1,1602,34.3,100
M,300.9,310.9,1636,35.3,153
L,300.6,309.4,1654,32.8,57
L,303.0,311.2,1361,47.6,106
L,302.1,310.6,1439,40.0,7
L,295.8,306.5,1534,37.9,88
M,301.8,310.7,1309,43.3,68
M,301.1,311.2,1407,53.0,165
H,298.8,309.9,1466,44.6,66
L,302.9,312.4,1383,51.4,160
L,302.0,309.8,1532,39.4,2
L,297.5,308.6,1585,37.6,2
L,298.9,310.0,1791,27.6,166
L,298.7,310.1,1641,31.1,49
L,300.7,311.7,1395,43.7,215
L,300.6,310.2,1318,51.0,8
M,299.3,310.6,1609,31.4,99
L,301.6,310.6,1455,43.9,0
L,299.9,309.5,1567,35.5,171
L,299.4,309.0,1660,28.4,139
M,302.3,311.2,1546,40.0,71
L,299.0,310.3,1428,46.3,175
L,302.7,312.1,1597,39.8,153
