type,tool_wear,target,power,diference_temperature
L,59,0,60169.2,-8.800000000000011
M,123,0,70632.5,-11.100000000000023
L,88,0,44066.399999999994,-10.300000000000011
L,174,0,59171.7,-9.800000000000011
H,93,0,82251.0,-10.0
H,10,0,54517.200000000004,-11.100000000000023
L,93,0,49170.0,-9.699999999999989
M,93,0,60092.7,-10.799999999999955
L,81,0,43623.200000000004,-11.900000000000034
H,171,0,51710.399999999994,-9.0
L,90,0,66127.2,-10.300000000000011
L,180,0,50751.7,-9.599999999999966
M,10,0,74245.6,-11.199999999999989
L,203,0,53361.0,-11.199999999999989
L,54,0,64926.4,-9.099999999999966
L,8,0,67218.0,-9.599999999999966
M,2,0,79110.0,-9.5
L,107,0,72715.5,-9.600000000000023
L,88,0,57670.799999999996,-11.0
L,139,0,81721.2,-10.300000000000011
H,16,0,61801.6,-9.199999999999989
M,33,0,54365.49999999999,-10.699999999999989
L,138,0,69262.2,-10.800000000000011
L,186,0,50237.4,-8.799999999999955
L,181,0,46509.4,-9.300000000000011
M,27,0,57645.9,-10.5
L,190,0,68516.8,-11.199999999999989
M,0,0,67518.0,-11.199999999999989
L,146,0,43099.0,-9.0
L,51,0,70296.0,-8.900000000000034
M,16,0,55905.9,-9.199999999999989
M,149,0,57366.399999999994,-9.400000000000034
L,69,0,71150.4,-9.899999999999977
L,98,0,64287.99999999999,-9.5
M,166,0,60350.5,-9.700000000000045
L,2,0,56134.4,-11.099999999999966
L,85,0,61986.100000000006,-10.899999999999977
L,82,0,63643.299999999996,-10.0
L,24,0,79547.2,-9.700000000000045
M,75,0,75345.59999999999,-10.0
L,25,0,54136.0,-9.600000000000023
L,174,0,65856.0,-11.199999999999989
L,213,0,45765.5,-9.400000000000034
L,89,0,63813.0,-9.699999999999989
H,126,0,58586.1,-11.200000000000045
L,108,0,56678.399999999994,-11.0
L,83,0,59014.0,-10.5
L,159,0,44810.5,-8.299999999999955
L,31,0,38910.8,-10.5
M,127,0,47945.1,-9.199999999999989
L,183,0,74588.8,-11.300000000000011
L,139,0,57920.4,-11.0
L,185,0,53397.0,-9.400000000000034
M,0,0,66382.79999999999,-10.5
L,50,0,53427.6,-8.899999999999977
L,26,0,55597.399999999994,-10.0
L,175,0,64569.600000000006,-9.699999999999989
M,18,0,67360.8,-10.5
H,102,0,60860.8,-11.300000000000011
M,128,0,51937.0,-8.899999999999977
L,99,0,70445.59999999999,-9.400000000000034
L,186,0,58005.99999999999,-9.5
L,15,0,64510.5,-11.5
M,191,0,47855.4,-11.199999999999989
M,50,0,38319.4,-10.100000000000023
M,90,0,67821.0,-9.300000000000011
M,155,0,76601.7,-11.399999999999977
L,228,1,73759.8,-11.399999999999977
L,41,0,73584.0,-9.900000000000034
L,115,0,54528.3,-8.699999999999989
L,47,0,62019.99999999999,-9.0
L,109,0,81539.20000000001,-10.0
M,28,0,67285.5,-9.599999999999966
L,21,0,77056.2,-9.399999999999977
M,157,0,57260.0,-8.899999999999977
M,203,0,53339.799999999996,-8.599999999999966
M,49,0,73956.5,-9.100000000000023
L,174,0,58941.0,-10.099999999999966
L,115,0,56334.3,-11.100000000000023
L,24,0,63884.799999999996,-11.699999999999989
M,63,0,74660.5,-10.600000000000023
L,29,0,67096.4,-9.0
L,122,0,66356.40000000001,-10.700000000000045
L,154,0,64615.200000000004,-9.5
L,63,0,55412.5,-11.300000000000011
L,162,0,53732.799999999996,-9.0
L,144,0,53102.4,-8.699999999999989
M,80,0,49752.6,-9.799999999999955
L,86,0,55750.9,-10.299999999999955
H,91,0,73841.6,-9.100000000000023
H,125,0,49709.2,-10.800000000000011
L,162,0,60698.0,-10.899999999999977
L,125,0,78039.4,-11.099999999999966
L,27,0,67456.8,-10.800000000000011
H,202,0,61705.0,-10.800000000000011
M,73,0,65800.8,-9.300000000000011
H,143,0,52390.0,-10.399999999999977
M,77,0,54908.0,-10.299999999999955
M,79,0,52283.2,-9.300000000000011
L,17,0,42358.4,-8.5
L,90,0,56083.49999999999,-11.800000000000011
H,91,0,51274.0,-11.099999999999966
M,50,0,65880.0,-10.199999999999989
M,198,0,64856.0,-9.900000000000034
M,59,0,68975.90000000001,-11.0
M,46,0,47782.200000000004,-9.5
M,135,0,58800.0,-7.800000000000011
L,14,0,68150.0,-10.399999999999977
L,65,0,68206.59999999999,-9.699999999999989
L,152,0,80647.0,-7.800000000000011
L,54,0,56990.4,-11.699999999999989
M,61,0,71139.9,-10.0
M,90,0,51112.9,-8.800000000000011
M,127,0,54441.0,-9.600000000000023
L,148,0,43069.200000000004,-9.400000000000034
L,202,1,79940.0,-10.900000000000034
L,149,0,53852.600000000006,-9.0
L,14,0,54425.8,-9.099999999999966
L,81,0,50155.2,-9.300000000000011
L,58,0,60628.5,-10.899999999999977
M,77,0,44150.4,-11.199999999999989
L,143,0,64144.00000000001,-8.700000000000045
M,206,0,61905.600000000006,-11.299999999999955
L,24,0,48527.7,-9.800000000000011
H,27,0,68705.0,-11.099999999999966
M,203,0,53583.0,-9.100000000000023
M,186,0,50181.6,-10.699999999999989
L,23,0,50400.0,-10.0
M,207,0,39033.9,-8.400000000000034
L,137,0,49094.1,-10.900000000000034
M,24,0,69136.7,-11.100000000000023
H,149,0,67776.90000000001,-10.799999999999955
L,39,0,51258.9,-10.699999999999989
M,131,0,62971.700000000004,-9.5
L,100,0,54346.200000000004,-7.7000000000000455
M,189,0,56710.5,-10.399999999999977
L,11,0,48623.4,-10.300000000000011
H,209,0,50555.2,-11.399999999999977
M,133,0,47151.8,-11.0
H,9,0,71518.3,-9.900000000000034
L,186,0,61782.4,-9.100000000000023
H,151,0,46143.0,-8.600000000000023
M,169,0,53460.0,-11.0
L,65,0,46519.200000000004,-10.900000000000034
L,197,0,57830.49999999999,-10.800000000000011
H,84,0,57208.200000000004,-9.5
M,121,0,66725.2,-10.300000000000011
L,103,0,43990.4,-11.400000000000034
L,37,0,75298.8,-11.400000000000034
L,48,0,51825.200000000004,-9.800000000000011
L,186,0,65742.6,-8.600000000000023
M,78,0,50925.1,-9.0
M,88,0,54088.5,-11.199999999999989
L,0,0,58943.5,-10.699999999999989
L,198,1,75302.40000000001,-11.400000000000034
L,154,0,66364.2,-11.300000000000011
L,16,0,54459.200000000004,-10.600000000000023
L,177,0,60684.8,-10.099999999999966
L,4,0,55086.700000000004,-10.100000000000023
L,4,0,69870.59999999999,-9.700000000000045
L,137,0,74674.4,-10.199999999999989
M,47,0,57425.4,-8.199999999999989
L,135,0,60671.3,-8.699999999999989
L,197,0,52006.5,-10.800000000000011
M,197,0,50907.600000000006,-11.300000000000011
L,134,0,62122.6,-10.599999999999966
L,169,1,86231.59999999999,-8.899999999999977
M,162,0,50371.2,-9.699999999999989
L,123,0,49709.7,-10.399999999999977
L,127,0,43435.0,-11.599999999999966
L,96,0,60150.2,-9.0
L,61,0,55237.200000000004,-10.0
L,244,0,64871.1,-8.799999999999955
L,145,0,84593.6,-7.800000000000011
L,94,0,49170.0,-8.900000000000034
M,185,0,71116.8,-9.300000000000011
L,141,0,62843.2,-9.400000000000034
M,201,0,76075.2,-10.800000000000011
H,49,0,62294.4,-9.600000000000023
L,31,0,71463.59999999999,-8.0
M,137,0,69450.0,-11.5
L,179,0,62403.600000000006,-10.699999999999989
M,80,0,52366.399999999994,-9.0
M,21,0,56435.5,-11.399999999999977
L,123,0,57604.700000000004,-9.100000000000023
L,147,0,56077.600000000006,-11.199999999999989
L,51,0,66792.0,-9.600000000000023
L,122,0,42817.0,-11.100000000000023
L,160,0,78183.0,-11.300000000000011
L,48,0,63404.0,-9.300000000000011
L,139,0,63199.2,-10.900000000000034
L,100,0,58933.99999999999,-11.200000000000045
L,214,0,71912.0,-9.099999999999966
L,91,0,65718.3,-11.100000000000023
L,206,0,57859.200000000004,-9.100000000000023
M,35,0,68163.3,-10.600000000000023
L,158,0,66125.40000000001,-9.699999999999989
L,168,0,39355.200000000004,-9.899999999999977
L,58,0,62456.00000000001,-9.800000000000011
L,101,0,68596.8,-11.399999999999977
L,108,0,47555.9,-9.300000000000011
L,164,0,68715.4,-9.0
L,201,0,67099.5,-9.400000000000034
L,71,0,51128.700000000004,-10.800000000000011
M,5,0,54651.6,-9.300000000000011
M,181,0,55394.600000000006,-10.600000000000023
L,197,0,51670.5,-9.899999999999977
L,154,0,75097.5,-11.099999999999966
L,186,0,54935.100000000006,-9.5
L,42,0,51206.8,-9.199999999999989
L,112,0,54632.8,-11.199999999999989
L,117,0,75637.8,-9.100000000000023
L,72,0,45150.0,-9.699999999999989
L,80,0,64429.799999999996,-8.900000000000034
L,123,0,67307.9,-11.699999999999989
M,190,0,55642.8,-8.5
M,22,0,67436.2,-9.900000000000034
L,146,0,69768.0,-9.900000000000034
L,77,0,64829.00000000001,-9.300000000000011
M,112,0,46994.6,-9.100000000000023
H,43,0,62019.99999999999,-10.699999999999989
L,34,0,62222.1,-11.100000000000023
M,94,0,45040.1,-10.5
H,133,0,38704.0,-9.0
M,7,0,71168.40000000001,-9.700000000000045
M,99,0,52264.8,-11.199999999999989
L,7,0,58211.99999999999,-9.600000000000023
M,81,0,61393.1,-11.300000000000011
L,59,0,37970.1,-7.7000000000000455
M,161,0,46843.0,-9.299999999999955
L,173,0,75898.0,-11.100000000000023
M,106,0,57805.4,-10.199999999999989
M,210,0,47583.9,-8.400000000000034
M,193,0,68985.0,-9.600000000000023
H,28,0,63655.0,-10.199999999999989
L,94,0,64124.799999999996,-9.100000000000023
L,30,1,74447.0,-8.5
L,57,0,54251.2,-8.799999999999955
M,253,1,79679.2,-9.699999999999989
M,19,0,73520.5,-9.900000000000034
M,130,0,64437.1,-10.699999999999989
L,127,0,57603.0,-11.300000000000011
L,157,0,57833.99999999999,-11.300000000000011
L,194,0,51937.2,-9.0
M,27,0,68299.2,-11.0
H,36,0,58887.4,-10.800000000000011
H,68,0,65355.4,-9.100000000000023
L,0,0,59987.200000000004,-11.199999999999989
L,198,0,43378.0,-9.5
L,215,0,49961.2,-9.100000000000023
M,11,0,70498.0,-9.0
L,144,0,72975.0,-10.400000000000034
L,75,0,61954.9,-9.5
H,47,0,60878.700000000004,-11.0
M,183,0,65250.0,-11.199999999999989
M,73,0,58239.2,-11.199999999999989
L,26,0,47241.0,-11.100000000000023
M,157,0,70470.0,-10.899999999999977
L,214,0,69450.0,-9.800000000000011
L,130,0,48207.5,-11.0
L,100,0,74448.0,-9.400000000000034
H,0,0,49152.6,-9.900000000000034
L,197,0,57471.2,-10.5
M,164,0,61157.5,-9.5
L,54,0,46153.799999999996,-11.100000000000023
M,0,0,54481.00000000001,-9.800000000000011
H,51,0,60192.0,-10.0
L,219,0,68573.2,-9.100000000000023
L,204,0,54124.200000000004,-9.699999999999989
L,126,0,55786.5,-9.300000000000011
L,208,0,59414.2,-9.699999999999989
H,164,0,54460.0,-8.800000000000011
L,7,0,46823.4,-9.199999999999989
L,172,0,63479.4,-10.5
L,15,0,65351.00000000001,-11.099999999999966
M,136,0,45449.1,-11.0
M,122,0,58290.4,-9.600000000000023
L,33,0,66149.9,-9.5
L,102,0,74814.0,-10.599999999999966
M,129,0,43418.4,-8.300000000000011
L,166,0,74047.8,-10.0
L,61,0,67716.4,-9.300000000000011
M,28,0,78642.4,-9.300000000000011
L,31,0,59754.6,-9.599999999999966
M,49,0,63279.0,-9.699999999999989
L,4,0,64124.5,-10.899999999999977
M,17,0,70323.8,-8.899999999999977
L,207,0,61928.2,-11.100000000000023
L,0,0,66518.40000000001,-12.100000000000023
H,58,0,64004.399999999994,-9.300000000000011
L,96,0,52116.0,-9.900000000000034
L,44,0,63153.2,-9.100000000000023
M,41,0,64911.6,-9.099999999999966
L,86,0,50491.2,-9.399999999999977
M,139,0,57722.0,-8.199999999999989
L,135,0,67708.90000000001,-9.699999999999989
M,2,0,64660.0,-11.0
L,177,0,54706.0,-11.599999999999966
L,31,0,67732.59999999999,-11.099999999999966
L,130,0,46852.0,-9.399999999999977
L,196,0,52120.8,-10.5
M,205,0,72962.40000000001,-9.399999999999977
L,152,0,47665.8,-10.400000000000034
L,166,0,54408.600000000006,-7.800000000000011
M,88,0,52966.0,-11.0
M,136,0,65305.8,-11.099999999999966
H,130,0,66167.5,-8.800000000000011
M,98,0,76492.5,-9.5
L,62,0,62056.8,-10.899999999999977
H,58,0,57043.8,-9.300000000000011
L,68,0,56770.0,-9.200000000000045
M,143,0,69990.40000000001,-9.300000000000011
L,134,0,56591.4,-11.199999999999989
M,33,0,58504.6,-10.800000000000011
M,163,0,75838.40000000001,-11.300000000000011
M,4,0,55038.399999999994,-11.699999999999989
L,107,0,74137.6,-9.699999999999989
M,143,0,38310.5,-11.5
L,27,0,36859.200000000004,-11.800000000000011
M,53,0,51990.4,-11.100000000000023
L,192,0,65035.99999999999,-9.199999999999989
L,55,0,52535.0,-9.800000000000011
L,96,0,64268.6,-11.100000000000023
M,52,0,56089.8,-9.800000000000011
L,12,0,73721.5,-7.7999999999999545
L,7,0,58255.200000000004,-8.899999999999977
M,165,0,74571.0,-10.099999999999966
L,59,0,40955.200000000004,-9.0
L,103,0,56315.0,-10.200000000000045
L,191,0,54741.0,-9.400000000000034
M,168,0,45831.8,-10.800000000000011
L,57,0,64244.6,-11.0
L,66,0,54652.5,-8.900000000000034
M,102,0,66788.8,-9.800000000000011
M,49,0,65904.5,-8.699999999999989
L,166,0,77327.09999999999,-11.300000000000011
M,201,0,80650.4,-8.5
L,93,0,54112.5,-10.400000000000034
L,131,0,47580.3,-11.200000000000045
M,185,0,64048.4,-8.900000000000034
L,155,0,67438.40000000001,-9.299999999999955
L,104,0,69011.8,-8.899999999999977
L,2,0,60360.799999999996,-7.800000000000011
L,96,0,69448.40000000001,-9.300000000000011
L,211,0,43773.6,-9.699999999999989
L,194,0,68180.0,-10.100000000000023
M,133,0,56141.200000000004,-11.399999999999977
L,80,0,49165.6,-10.599999999999966
L,40,0,41974.8,-9.199999999999989
L,94,1,90650.4,-8.899999999999977
L,133,0,60172.00000000001,-11.0
L,176,0,63912.2,-9.300000000000011
L,201,0,59389.5,-9.800000000000011
M,219,0,72095.40000000001,-11.199999999999989
L,38,0,57493.8,-9.899999999999977
M,30,1,87259.2,-9.300000000000011
L,108,0,49905.600000000006,-9.799999999999955
L,68,0,54060.1,-11.899999999999977
L,0,0,59786.299999999996,-10.900000000000034
L,83,0,63384.600000000006,-8.800000000000011
L,56,0,60065.0,-9.5
H,194,0,52648.99999999999,-9.5
L,21,0,65237.9,-11.5
H,183,0,51199.5,-9.5
L,9,0,61583.1,-8.900000000000034
M,133,0,62793.600000000006,-9.300000000000011
H,105,0,66410.4,-11.100000000000023
L,118,0,60417.0,-9.800000000000011
L,107,0,59769.799999999996,-9.5
M,79,0,79727.2,-11.0
L,20,0,60400.99999999999,-11.0
L,200,0,39541.299999999996,-9.199999999999989
L,43,0,50294.5,-9.900000000000034
L,57,0,60572.9,-9.300000000000011
L,224,0,62857.5,-9.199999999999989
L,138,0,65329.299999999996,-11.200000000000045
L,134,0,59020.5,-9.300000000000011
M,41,0,72192.6,-8.0
L,116,0,50773.799999999996,-9.800000000000011
L,213,0,57332.299999999996,-11.199999999999989
H,34,0,50941.9,-7.899999999999977
L,29,0,42600.0,-11.900000000000034
L,188,0,66530.5,-9.400000000000034
L,187,0,70027.0,-10.799999999999955
L,194,0,65519.7,-9.899999999999977
L,41,0,71550.0,-9.599999999999966
L,91,0,54563.5,-8.399999999999977
L,167,0,71703.3,-11.400000000000034
M,199,0,68304.0,-10.400000000000034
L,73,0,77504.0,-10.899999999999977
L,123,0,47800.6,-9.600000000000023
M,130,0,47549.4,-10.300000000000011
L,82,0,51834.600000000006,-9.599999999999966
L,204,0,52900.799999999996,-10.900000000000034
L,94,0,47367.1,-9.0
L,119,0,54778.100000000006,-9.800000000000011
M,142,0,67260.59999999999,-9.599999999999966
H,132,0,57566.4,-9.699999999999989
M,50,0,58622.399999999994,-8.899999999999977
M,150,0,52740.50000000001,-10.899999999999977
M,117,0,39417.399999999994,-9.300000000000011
M,107,0,64635.2,-9.300000000000011
L,231,0,62424.9,-11.199999999999989
H,98,0,33782.0,-11.100000000000023
L,29,0,60785.1,-10.800000000000011
M,74,0,54016.4,-9.0
L,107,0,68355.2,-10.300000000000011
H,28,0,54908.0,-10.800000000000011
L,11,0,62153.0,-10.900000000000034
L,202,0,65277.6,-9.400000000000034
M,224,0,59656.799999999996,-11.100000000000023
L,164,0,40086.0,-9.300000000000011
M,30,0,51260.1,-10.100000000000023
L,188,0,57073.8,-9.399999999999977
M,126,0,59488.0,-8.800000000000011
L,3,0,60089.700000000004,-10.900000000000034
M,59,0,61073.600000000006,-11.200000000000045
M,76,0,67075.5,-10.5
H,210,0,45126.9,-8.899999999999977
M,6,0,53876.399999999994,-11.299999999999955
H,66,1,70196.40000000001,-8.199999999999989
L,16,0,61443.200000000004,-7.699999999999989
L,94,0,69030.0,-8.800000000000011
L,131,0,62351.99999999999,-10.600000000000023
L,133,0,57790.2,-9.099999999999966
L,35,0,59076.899999999994,-11.5
M,56,0,59572.8,-9.100000000000023
L,139,0,56497.8,-9.600000000000023
H,152,0,57002.4,-9.5
L,102,0,78302.7,-9.300000000000011
L,93,0,75287.40000000001,-9.800000000000011
M,43,0,48792.0,-10.600000000000023
L,193,0,50327.0,-9.299999999999955
L,5,0,70862.4,-9.400000000000034
L,197,0,59775.299999999996,-9.099999999999966
M,29,0,40019.200000000004,-9.899999999999977
L,202,0,71224.8,-11.100000000000023
M,53,0,52130.4,-9.099999999999966
L,46,0,73044.8,-10.0
L,161,0,56181.6,-9.600000000000023
L,172,0,58782.0,-9.399999999999977
L,60,0,65250.9,-9.600000000000023
M,39,0,61269.600000000006,-8.900000000000034
M,73,0,48721.600000000006,-10.5
L,203,0,51594.9,-11.399999999999977
L,180,0,62434.799999999996,-8.300000000000011
M,15,0,44095.200000000004,-9.099999999999966
M,28,0,53584.0,-9.5
L,15,0,62392.200000000004,-11.399999999999977
M,125,0,69920.0,-10.300000000000011
M,36,0,55704.799999999996,-9.400000000000034
L,165,0,69170.4,-10.400000000000034
L,65,1,66226.8,-8.199999999999989
L,148,0,40876.799999999996,-10.599999999999966
L,171,0,62928.0,-8.800000000000011
L,100,0,52356.4,-11.600000000000023
L,44,0,70372.8,-9.900000000000034
L,46,0,55744.2,-9.900000000000034
L,148,1,62188.9,-8.5
M,200,0,79833.59999999999,-11.0
M,55,0,57211.0,-11.199999999999989
L,126,0,56246.4,-9.300000000000011
L,205,0,42226.6,-8.700000000000045
H,130,0,50477.700000000004,-9.599999999999966
L,121,0,48355.299999999996,-9.5
L,81,0,59636.5,-8.300000000000011
L,51,0,58176.0,-9.199999999999989
M,147,0,58845.6,-9.399999999999977
L,62,1,63286.5,-8.100000000000023
L,130,0,55820.700000000004,-9.5
L,25,0,60987.5,-11.5
M,205,0,52768.0,-11.199999999999989
L,67,0,64992.0,-9.299999999999955
M,19,0,62080.0,-11.399999999999977
L,81,0,77757.59999999999,-9.100000000000023
L,142,0,59548.5,-9.399999999999977
L,56,0,61425.899999999994,-11.400000000000034
H,25,0,69403.5,-11.099999999999966
M,172,0,74051.2,-11.0
H,184,0,57828.0,-9.699999999999989
L,181,0,60426.0,-9.200000000000045
L,206,0,65158.200000000004,-8.600000000000023
M,63,0,58360.5,-10.0
M,12,0,62959.6,-9.799999999999955
M,189,0,58329.600000000006,-9.900000000000034
L,196,0,67970.09999999999,-8.900000000000034
L,14,0,57718.200000000004,-9.800000000000011
M,209,0,58064.8,-10.100000000000023
M,58,0,55506.0,-10.5
L,127,0,48501.0,-10.099999999999966
M,177,0,46719.0,-9.599999999999966
L,210,0,59640.0,-9.399999999999977
L,212,0,58204.8,-9.399999999999977
H,107,0,65329.5,-11.399999999999977
L,31,0,46905.299999999996,-9.099999999999966
H,67,0,51840.0,-11.300000000000011
L,102,0,63510.0,-9.399999999999977
L,64,1,67720.5,-8.5
M,6,0,60018.0,-11.100000000000023
H,0,0,54936.0,-11.199999999999989
M,175,0,62626.2,-9.5
L,65,0,53498.8,-9.299999999999955
L,161,0,54304.799999999996,-11.400000000000034
L,35,0,49394.100000000006,-9.5
L,46,0,63384.600000000006,-9.199999999999989
L,124,0,65253.899999999994,-11.100000000000023
L,40,0,66859.0,-9.199999999999989
H,12,0,62121.600000000006,-8.600000000000023
L,7,0,72375.3,-8.799999999999955
L,154,0,52002.0,-9.600000000000023
L,63,0,56797.8,-11.899999999999977
M,68,0,56679.7,-8.899999999999977
M,35,0,70680.0,-9.700000000000045
L,77,0,58732.799999999996,-10.800000000000011
L,51,1,66433.5,-8.300000000000011
L,251,1,68385.09999999999,-9.699999999999989
M,131,0,47966.799999999996,-11.199999999999989
M,79,0,47399.6,-9.800000000000011
L,230,0,59536.200000000004,-9.399999999999977
M,144,0,34839.0,-10.800000000000011
L,170,0,58482.0,-9.699999999999989
L,59,0,74151.0,-8.899999999999977
L,180,0,54199.399999999994,-11.200000000000045
L,150,0,60615.399999999994,-9.300000000000011
L,179,0,60446.4,-9.600000000000023
L,6,0,73224.0,-11.099999999999966
L,56,0,53497.200000000004,-10.699999999999989
L,10,0,67852.8,-10.100000000000023
L,29,0,61633.0,-9.199999999999989
M,156,0,60581.4,-11.300000000000011
H,156,0,59581.799999999996,-7.899999999999977
L,37,0,62995.2,-10.800000000000011
L,168,0,57852.299999999996,-7.800000000000011
L,69,0,52672.899999999994,-8.199999999999989
L,128,0,54646.8,-9.400000000000034
M,209,0,57366.4,-9.300000000000011
L,160,0,72540.09999999999,-10.800000000000011
L,19,0,53857.299999999996,-9.099999999999966
L,71,0,66294.0,-10.5
M,20,0,50008.8,-8.900000000000034
L,127,0,36003.0,-11.300000000000011
L,164,0,58255.200000000004,-10.800000000000011
L,98,0,58905.0,-10.600000000000023
H,101,1,75258.0,-8.399999999999977
M,28,0,60532.0,-11.0
H,170,0,47223.600000000006,-8.900000000000034
L,70,0,58653.0,-9.199999999999989
L,28,0,60037.200000000004,-9.900000000000034
M,74,0,62863.4,-9.600000000000023
L,40,0,56278.0,-9.700000000000045
L,174,0,64611.1,-11.400000000000034
H,124,0,71476.3,-10.800000000000011
L,158,0,57355.200000000004,-11.399999999999977
M,85,0,65374.4,-10.699999999999989
H,62,0,64646.4,-9.5
M,188,0,64831.200000000004,-11.400000000000034
L,209,0,51056.399999999994,-9.100000000000023
L,108,0,52375.5,-9.099999999999966
M,114,0,46393.100000000006,-9.899999999999977
L,92,0,62054.399999999994,-10.699999999999989
H,36,0,61230.600000000006,-10.199999999999989
H,74,0,77669.9,-9.300000000000011
L,139,0,47144.0,-9.600000000000023
L,118,0,70666.2,-9.799999999999955
L,112,0,41060.600000000006,-8.800000000000011
M,166,0,55806.1,-10.5
M,67,0,46671.600000000006,-9.0
M,174,0,48089.6,-11.199999999999989
L,117,0,57351.600000000006,-8.399999999999977
L,9,0,58816.799999999996,-9.300000000000011
L,23,0,57302.9,-11.100000000000023
L,208,0,65977.2,-11.899999999999977
L,219,0,62762.4,-10.699999999999989
M,160,0,54944.4,-10.900000000000034
H,176,0,48288.5,-8.0
L,12,0,65377.6,-9.099999999999966
M,74,0,54753.6,-9.200000000000045
H,6,0,76410.0,-9.600000000000023
H,212,0,54619.3,-9.800000000000011
L,139,0,49538.0,-9.800000000000011
L,74,0,67890.2,-9.300000000000011
M,113,0,65894.5,-9.699999999999989
L,98,0,63923.2,-10.699999999999989
L,80,0,75500.6,-9.399999999999977
M,34,0,68781.0,-11.0
L,21,0,58344.0,-9.100000000000023
L,145,0,75926.7,-10.200000000000045
L,125,0,64325.0,-11.300000000000011
L,100,0,61295.5,-10.0
L,242,0,50350.9,-11.199999999999989
L,13,0,83550.5,-10.599999999999966
L,122,0,58661.200000000004,-9.799999999999955
L,137,0,65012.799999999996,-9.700000000000045
L,111,0,33696.0,-8.799999999999955
L,150,0,60256.1,-9.400000000000034
L,33,0,57862.5,-9.400000000000034
M,116,0,77469.59999999999,-11.0
L,23,0,65503.799999999996,-9.5
M,7,0,59067.3,-11.5
L,58,0,61196.4,-11.200000000000045
M,241,0,60463.200000000004,-9.5
L,193,0,70067.9,-10.200000000000045
H,5,0,33696.0,-11.400000000000034
H,154,0,54370.5,-9.5
L,166,0,49431.600000000006,-11.100000000000023
M,221,0,56436.399999999994,-9.099999999999966
L,199,0,56906.4,-11.299999999999955
M,178,0,63635.0,-10.5
L,212,1,73569.2,-10.899999999999977
L,203,1,77827.90000000001,-11.100000000000023
M,178,0,41648.4,-9.099999999999966
L,8,0,52924.899999999994,-11.699999999999989
L,96,0,68286.3,-9.699999999999989
M,132,0,46483.5,-8.699999999999989
L,123,0,59213.0,-9.900000000000034
H,129,0,61970.399999999994,-11.899999999999977
M,122,0,55597.399999999994,-9.699999999999989
L,105,0,65572.8,-10.299999999999955
M,170,0,55763.4,-11.300000000000011
L,90,0,58520.0,-11.0
H,141,0,57050.8,-8.699999999999989
L,69,0,54072.0,-8.900000000000034
H,14,0,55224.0,-9.0
M,23,0,47782.5,-9.300000000000011
M,189,0,59369.200000000004,-11.200000000000045
L,63,0,62607.6,-9.800000000000011
M,101,0,70156.8,-9.5
M,86,1,28654.6,-10.300000000000011
L,142,0,64064.0,-8.199999999999989
M,0,0,61827.600000000006,-10.699999999999989
M,181,0,60690.0,-9.5
M,41,0,45227.0,-10.899999999999977
M,78,0,55233.50000000001,-8.899999999999977
M,140,0,66478.5,-9.199999999999989
L,81,0,65738.6,-9.199999999999989
M,158,0,51089.200000000004,-8.900000000000034
H,222,0,65200.4,-11.300000000000011
L,202,0,70770.7,-8.899999999999977
H,168,0,52380.899999999994,-10.399999999999977
L,47,0,45900.2,-8.699999999999989
L,98,0,77530.59999999999,-10.0
L,28,0,64690.799999999996,-11.200000000000045
M,199,0,52550.8,-9.300000000000011
L,172,0,54891.49999999999,-10.099999999999966
M,112,0,60333.899999999994,-11.0
M,199,0,62698.399999999994,-10.100000000000023
L,110,0,46157.3,-9.100000000000023
H,155,0,56614.5,-11.399999999999977
L,11,0,61005.4,-10.0
L,159,0,49867.5,-11.200000000000045
L,231,0,61616.100000000006,-7.800000000000011
L,37,0,64171.2,-9.0
M,160,0,58697.6,-8.900000000000034
M,176,0,46580.0,-11.5
L,19,0,65154.5,-9.599999999999966
H,75,0,57596.0,-10.900000000000034
M,178,0,52124.6,-10.399999999999977
L,115,0,57868.8,-10.800000000000011
M,65,0,73723.0,-10.699999999999989
H,130,0,65099.8,-9.199999999999989
L,81,0,76593.0,-9.800000000000011
L,58,0,51973.799999999996,-9.399999999999977
M,22,0,57301.200000000004,-9.699999999999989
L,62,0,64670.4,-10.0
M,152,0,51736.200000000004,-9.600000000000023
M,142,0,82104.0,-9.199999999999989
H,175,0,43874.8,-8.699999999999989
L,191,0,55296.1,-11.800000000000011
L,10,0,53598.7,-9.5
M,61,0,53742.1,-11.5
M,161,0,48401.0,-10.5
L,101,0,67244.1,-11.300000000000011
L,9,0,41812.4,-8.899999999999977
L,23,0,56448.0,-10.800000000000011
L,46,0,56132.99999999999,-11.399999999999977
L,36,0,69761.90000000001,-11.099999999999966
L,138,0,74045.0,-9.400000000000034
L,94,0,81896.8,-11.0
H,196,0,50666.0,-11.5
M,112,0,50317.2,-9.699999999999989
M,221,0,50097.6,-10.100000000000023
L,11,0,72784.09999999999,-9.099999999999966
L,20,0,56473.8,-11.200000000000045
L,65,0,53004.799999999996,-10.0
M,155,0,57937.5,-9.800000000000011
L,201,0,33912.0,-8.800000000000011
L,82,0,57057.0,-9.5
M,80,0,67299.5,-8.800000000000011
L,25,0,54604.0,-9.599999999999966
L,122,0,53481.9,-9.100000000000023
L,122,0,49965.299999999996,-9.399999999999977
L,160,0,48484.8,-9.0
M,135,0,56919.799999999996,-9.300000000000011
M,130,0,72298.2,-10.900000000000034
